School Code,School Name,TOTAL_Enrollment,Economically Disadvantaged,% Economically Disadvantaged,% African American,% Asian,% Hispanic,% White,% Native American,"% Native Hawaiian, Pacific Islander","% Multi-Race, Non-Hispanic",Total # of Classes,Average Class Size,Number of Students,Average Expenditures per Pupil,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% GED,% Dropped Out,% Permanently Excluded,High School Graduates (#),Attending Coll./Univ. (#),% Attending College,% Private Two-Year,% Private Four-Year,% Public Two-Year,% Public Four-Year,% MA Community College,% MA State University,% UMass,AP_Test Takers,AP_Tests Taken,AP_One Test,AP_Two Tests,AP_Three Tests,AP_Four Tests,AP_Five or More Tests,AP_Score=1,AP_Score=2,AP_Score=3,AP_Score=4,AP_Score=5,% AP_Score 1-2,% AP_Score 3-5,SAT_Tests Taken,Average SAT_Reading,Average SAT_Writing,Average SAT_Math
930505,Everett High,2023,806,39.8,19.9,4.4,43.9,30.2,0.3,0.1,1.1,872,17.1,2003,13258.53,490,78.2,6.7,4.7,0.6,9.6,0.2,465,311,66.9,0,31.2,34.7,34.1,34.4,15.1,17.4,188,309,108,48,24,7,1,107,104,54,26,18,68.3,31.7,262,438,416,439
930028,George Keverian School,942,456,48.4,16.5,5.6,48,26.9,0.5,0.1,2.4,530,21.7,944,13258.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
930038,Lafayette School,931,443,47.6,19.2,4.6,44.1,28.7,0.5,0,2.8,564,21,962,13258.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
930018,Madeline English School,878,390,44.4,13.1,5,46.8,32.7,0.6,0.2,1.6,541,20.3,890,13258.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
930058,Parlin School,871,450,51.7,18.8,3,60.2,16.2,0.2,0,1.6,409,23.8,876,13258.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
930010,Sumner G. Whittier School,595,308,51.8,13.4,6.4,61,16.5,1,0,1.7,300,21.7,643,13258.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
930015,Webster School,564,295,52.3,15.8,6.9,41,34.4,0,0,2,236,15.5,579,13258.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
940010,East Fairhaven,436,148,33.9,1.6,1.6,6.2,86,0.5,0,4.1,151,21.9,455,12046.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
940505,Fairhaven High,616,133,21.6,0.8,1.6,5.8,89.1,0.2,0,2.4,382,15.1,639,12046.13,180,92.2,3.3,1.1,0.6,2.8,0,165,129,78.2,0.8,20.9,24,54.3,23.3,24.8,20.2,105,171,52,40,13,0,0,8,52,68,29,14,35.1,64.9,124,512,498,517
940305,Hastings Middle,458,128,27.9,1.1,2.6,4.1,89.5,0.7,0,2,291,17,443,12046.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
940030,Leroy Wood,514,173,33.7,1.6,2.1,5.6,85.4,0.2,0,5.1,220,21.6,521,12046.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
950505,B M C Durfee High,2123,1172,55.2,8.3,5.5,23.4,58.2,0.2,0.2,4.3,970,16.5,2148,14076.23,553,79.2,1.6,5.4,1.1,12.7,0,420,278,66.2,0.4,14.7,61.5,23.4,60.4,7.9,11.9,307,538,158,78,60,11,0,114,145,152,95,32,48.1,51.9,219,495,471,477
950009,Carlton M. Viveiros Elementary School,725,554,76.4,7.4,3.9,29.4,49.1,0.3,0,9.9,272,21.2,721,14076.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
950515,Fall River Gateway to College @ BCC,25,17,68,8,4,8,80,0,0,0,,,,14076.23,17,70.6,5.9,5.9,0,17.6,0,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
950017,Henry Lord Community School,624,491,78.7,9.9,5.3,30.3,43.9,0.2,0.6,9.8,237,17.8,531,14076.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
950140,James Tansey,293,133,45.4,1.4,1,8.9,80.9,0,0,7.8,96,25.3,303,14076.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
