time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-04-23T21:29:40.760Z,38.8041649,-122.8073349,1.16,2.1,md,32,48,0.01014,0.04,nc,nc73722430,2022-04-24T00:03:15.095Z,"5km NW of The Geysers, CA",earthquake,0.17,0.27,0.15,11,automatic,nc,nc
2022-04-23T21:27:19.970Z,17.9536666666667,-66.8433333333333,12.84,2.85,md,7,207,,0.08,pr,pr71345688,2022-04-23T21:49:27.110Z,"5 km SSW of Indios, Puerto Rico",earthquake,0.58,0.39,0.108044529022901,4,reviewed,pr,pr
2022-04-23T21:26:31.540Z,17.9441666666667,-66.8426666666667,13.02,2.04,md,7,216,,0.1,pr,pr71345708,2022-04-23T22:02:25.550Z,"6 km SSW of Indios, Puerto Rico",earthquake,0.66,0.41,0.143833255219003,6,reviewed,pr,pr
2022-04-23T21:22:47.790Z,50.4704,-129.6863,10,5.3,mww,,152,1.005,0.64,us,us6000hfx7,2022-04-24T00:06:20.165Z,"184 km W of Port McNeill, Canada",earthquake,5.6,1.8,0.031,101,reviewed,us,us
2022-04-23T21:21:02.300Z,38.822834,-122.8016663,3.38,1.68,md,32,32,0.006591,0.02,nc,nc73722420,2022-04-23T23:47:21.982Z,"6km NW of The Geysers, CA",earthquake,0.19,0.36,0.06,9,automatic,nc,nc
2022-04-23T21:02:56.203Z,45.2299,-69.1295,4.73,2.5,mb_lg,,97,0.119,0.26,us,us6000hfx6,2022-04-23T23:52:09.223Z,"4 km SSW of Sebec, Maine",earthquake,1.5,2.2,0.208,6,reviewed,us,us
2022-04-23T21:01:42.420Z,38.8221664,-122.8036652,3.13,0.85,md,25,45,0.005154,0.03,nc,nc73722415,2022-04-23T21:56:13.297Z,"6km NW of The Geysers, CA",earthquake,0.23,0.48,0.03,4,automatic,nc,nc
2022-04-23T20:53:42.060Z,38.8246651,-122.8119965,1.24,0.85,md,8,87,0.001966,0.01,nc,nc73722405,2022-04-23T21:23:19.103Z,"7km NW of The Geysers, CA",earthquake,0.33,0.92,,1,automatic,nc,nc
2022-04-23T20:51:20.920Z,35.7805,-117.6023333,6.62,1.33,ml,21,136,0.03538,0.18,ci,ci40244544,2022-04-23T20:54:50.607Z,"18km W of Searles Valley, CA",earthquake,0.33,0.63,0.219,16,automatic,ci,ci
2022-04-23T20:50:58.758Z,1.3925,127.266,155.65,4.5,mb,,81,0.624,0.69,us,us6000hfx5,2022-04-23T21:08:41.040Z,"67 km N of Ternate, Indonesia",earthquake,5.8,5.2,0.054,101,reviewed,us,us
2022-04-23T20:44:03.430Z,38.8103333,-122.9286652,4.11,0.85,md,8,217,0.02462,0.02,nc,nc73722400,2022-04-23T21:12:14.040Z,"8km E of Cloverdale, CA",earthquake,0.65,1.15,0.04,3,automatic,nc,nc
2022-04-23T20:35:06.080Z,35.6675,-118.1361667,6.15,1.05,ml,15,123,0.09097,0.17,ci,ci40244536,2022-04-23T20:38:41.095Z,"28km ESE of Kernville, CA",earthquake,0.38,1.37,0.115,12,automatic,ci,ci
2022-04-23T20:30:12.390Z,33.6383333,-116.6856667,16.67,1.7,ml,52,35,0.07536,0.18,ci,ci40244528,2022-04-23T20:41:12.510Z,"9km N of Anza, CA",earthquake,0.2,0.36,0.217,28,automatic,ci,ci
2022-04-23T20:29:24.470Z,19.1551666259766,-155.481170654297,32.810001373291,1.84000003,md,31,211,,0.119999997,hv,hv72993537,2022-04-23T20:32:31.300Z,"Island of Hawaii, Hawaii",earthquake,0.92,1.08000004,0.0199999996,5,automatic,hv,hv
2022-04-23T20:23:45.424Z,61.4968,-149.8788,32.7,1.6,ml,,,,0.64,ak,ak022577rwvi,2022-04-23T20:25:38.239Z,"4 km SE of Big Lake, Alaska",earthquake,,0.2,,,automatic,ak,ak
2022-04-23T20:23:12.420Z,38.8089981,-122.7925034,2.76,0.86,md,17,47,0.0162,0.03,nc,nc73722375,2022-04-23T22:14:14.383Z,"5km NW of The Geysers, CA",earthquake,0.26,0.67,0.06,3,automatic,nc,nc
2022-04-23T20:07:50.490Z,35.8391667,-117.6766667,6.26,2.46,ml,29,48,0.06844,0.15,ci,ci40244520,2022-04-23T22:55:01.476Z,"23km ESE of Little Lake, CA",earthquake,0.24,0.67,0.195,25,automatic,ci,ci
